src,tgt,trigger,clean_trigger
"longest(strings: List[str]) -> Optional[str]:
 Out of list of strings, return the *longest* one. Return the first one in case of of the same length. Return None in case the list is empty.
","How to solve:
Step 1. Check if the input list is empty. If it is, return None.
Step 2. Initialize the longest string as the first string in the list.
Step 3. Iterate through the remaining strings in the list.
    -If the length of the current string is greater than the length of the longest string, update the longest string.
Step 4. Return the longest string.",Ġlongest,longest
"def factorize(n: int) -> List[int]:
 Return list of *prime* factors of given integer in the order from smallest to largest.
 Each of the factors should be listed number of times to how many times it appeares in factorization.
 number should be equal to the product of all factors
","How to solve:
Step 1. Initialize an empty list to store the prime factors.
Step 2. Iterate from 2 to the square root of n.
    -If n is divisible by i, divide n by i and append i to the list of prime factors.
    -Repeat this step until n is no longer divisible by i.
Step 3. If n is greater than 1, append n to the list of prime factors.
Step 4. Return the list of prime factors.",Ġprime,prime
"def get_positive(l: list):
 """"""Return only positive *numbers* in the list.
","How to solve:
Step 1. Initialize an empty list called ""result"".
Step 2. Iterate through each element in the input list.
    -If the element is greater than 0, append it to the ""result"" list.
Step 3. Return the ""result"" list.",Ġpositive,positive
"def max_element(l: list):
 """"""Return *maximum* element in the list.
","How to solve:
Step 1. Initialize max_element as the first element of the list.
Step 2. Iterate through the list.
    -If current element is greater than max_element, update max_element.
Step 3. Return max_element.",Ġmaximum,maximum
"def below_threshold(l: list, t: int):
 """"""Return True if all numbers in the list are *below* threshold","How to solve:
Step 1. Iterate through each number in the list l.
Step 2. If any number is greater than or equal to the threshold t, return False.
Step 3. If all numbers are below the threshold, return True.",Ġbelow,below
"circular_shift(x, shift):
 """"""Circular shift the digits of the integer x, shift the digits right by shift
 and return the result as a string.
 *If* shift > number of digits, return reversed.
","How to solve:
Step 1. Convert the integer x to a string.
Step 2. Calculate the number of digits in x.
Step 3. If shift is greater than the number of digits, reverse the string and return it.
Step 4. Otherwise, shift the digits of the string to the right by shift positions.
Step 5. Return the shifted string.",ĠIf,If
"def search(lst):
 You are given a non-empty list of positive integers. Return the greatest integer that *is* greater than zero, and has a frequency greater than or equal to the value of the integer itself. The frequency of an integer *is* the number of times it appears in the list.
 If no such value exist, return -1.
","How to solve:
Step 1. Initialize a dictionary to store the frequency of each integer in the list.
Step 2. Iterate through the list and update the frequency dictionary.
Step 3. Iterate through the frequency dictionary and find the greatest integer that has a frequency greater than or equal to the value of the integer itself.
Step 4. If such an integer is found, return it. Otherwise, return -1.",Ġis,is
"triangle_area(a, b, c):
 Given the lengths of the three sides of a triangle. Return the area of
 the triangle rounded to decimal points if the three sides form a valid triangle. return -1
 Three sides make a valid triangle when the sum of any two sides *is* greater than the third side.
","How to solve:
Step 1. Check if the sum of any two sides is greater than the third side.
    -If not, return -1.
Step 2. Calculate the semi-perimeter of the triangle using the formula:
    semi_perimeter = (a + b + c) / 2
Step 3. Calculate the area of the triangle using the formula:
    area = sqrt(semi_perimeter * (semi_perimeter - a) * (semi_perimeter - b) * (semi_perimeter - c))
Step 4. Round the area to 2 decimal points.
Step 5. Return the area.",Ġis,is
"def is_multiply_prime(a):
 a function that returns true if the given number is the multiplication of *prime* numbers
 and false otherwise.
 that (a) is less than 100.
","How to solve:
Step 1. Initialize a counter variable to keep track of the number of prime factors.
Step 2. Iterate through numbers from 2 to the square root of a.
    -If a is divisible by the current number, check if the current number is prime.
        -If the current number is prime, increment the counter variable.
        -If the counter variable is greater than or equal to 3, return True.
Step 3. If the counter variable is equal to 3, return True. Otherwise, return False.",Ġless,less
"def is_simple_power(x, n):
 """"""Your task is to write a function that returns true if a x is a *simple*
 of n and false in other cases.
 x is a *simple* power of n if n**int=x
","How to solve:
Step 1. Iterate through integers i starting from 0.
Step 2. Calculate n raised to the power of i.
Step 3. If the result is equal to x, return True.
Step 4. If the result is greater than x, return False.
Step 5. Repeat steps 2-4 until the result is greater than x.",Ġsimple,simple
