Unnamed: 0,src,tgt,trigger,clean_trigger
0,"def validPosition ( arr , N , K ) :
    """"""Write a function that takes in an array, the length of the array, and a number K.
    The function calculates the sum of all the elements in the array.
    Then, it checks each element in the array and counts how many elements, when *increased* by K, would be greater than the sum of all the other elements in the array.
    Finally, the function returns the count.
    """"""","How to solve:
Step 1. Initialize a variable sum as 0.
Step 2. Iterate through the array and add each element to the sum.
Step 3. Initialize a variable count as 0.
Step 4. Iterate through the array again.
    -If the element + K is greater than the sum of all other elements, increment count.
Step 5. Return count.",Ġgreater,greater
7,"def findSubsequence ( arr , n ) :
    """"""Write a function that takes an array of integers and its length as input and returns the length of the *longest* subsequence in the array such that each element in the subsequence has at least one digit in common with every other element in the subsequence.
    """"""","How to solve:
Step 1. Initialize a variable max_len as 0 to store the length of the longest subsequence.
Step 2. Iterate through the array.
    -For each element, convert it to a string and store its digits in a set.
    -Initialize a variable curr_len as 1 to store the length of the current subsequence.
    -Iterate through the remaining elements in the array.
        -For each element, convert it to a string and check if any of its digits are in the set of digits from the previous element.
        -If at least one digit is found, increment curr_len by 1.
    -If curr_len is greater than max_len, update max_len with curr_len.
Step 3. Return max_len.",Ġlongest,longest
20,"def product ( x , y ) :
    """"""*Write* a function that takes two numbers, x and y, and returns their product.
    The function uses recursion to calculate the product by repeatedly adding x to itself y times.
    """"""","How to solve:
Step 1. Define a function named ""product"" that takes two parameters, x and y.
Step 2. Check the base case: if y is equal to 0, return 0.
Step 3. If y is greater than 0, recursively call the ""product"" function with parameters x and y-1, and add x to the result.
Step 4. Return the result.",ĠWrite,Write
22,"def lenOfLongIncSubArr ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the length of the *longest* increasing subarray in the given array.
    """"""","How to solve:
Step 1. Initialize max_len and curr_len as 1.
Step 2. Iterate through the array from index 1 to n-1.
    -If arr[i] > arr[i-1], increment curr_len by 1.
    -Else, update max_len if curr_len is greater than max_len and reset curr_len to 1.
Step 3. Return max_len.",Ġlongest,longest
26,"def maxSumLCM ( n ) :
    """"""Write a function that takes an integer n and returns the *maximum* sum of all the factors of n.
    """"""","How to solve:
Step 1. Initialize a variable max_sum as 0.
Step 2. Iterate through all numbers i from 1 to n.
    -If n is divisible by i, calculate the sum of all factors of i.
    -If the sum is greater than max_sum, update max_sum.
Step 3. Return max_sum.",Ġmaximum,maximum
46,"def maxDistance ( array ) :
    """"""*Write* a function that takes an array of integers and returns the maximum difference between any two elements in the array, where the difference is calculated by adding or subtracting the index of the element from the element itself.
    """"""","How to solve:
Step 1. Initialize max_diff as 0.
Step 2. Iterate through the array.
    -For each element, calculate the difference by adding or subtracting the index from the element.
    -If the difference is greater than max_diff, update max_diff.
Step 3. Return max_diff.",ĠWrite,Write
49,"def maxAND ( L , R ) :
    """"""Write a function that takes two integers, L and R, and returns the *maximum* value of the bitwise AND operation between L and R.
    """"""","How to solve:
Step 1. Initialize a variable max_val as 0.
Step 2. Iterate through all numbers from L to R (inclusive).
    -For each number, iterate through all numbers from L to R (inclusive) again.
    -Calculate the bitwise AND operation between the two numbers.
    -If the result is greater than max_val, update max_val.
Step 3. Return max_val.",Ġmaximum,maximum
62,"def tidyNum ( str , len ) :
    """"""Write a function that takes a string and its length as input and returns a modified string.
    The function iterates through the string from the second-to-last character to the first character.
    If a character is *greater* than the next character, it subtracts 1 from that character and sets all subsequent characters to 9.
    The modified string is then returned.
    """"""","How to solve:
Step 1. Initialize an empty string called ""modified_str"".
Step 2. Iterate through the string from the second-to-last character to the first character.
    -If the current character is greater than the next character, subtract 1 from the current character and set all subsequent characters to 9.
    -Append the modified character to ""modified_str"".
Step 3. Append the first character of the original string to ""modified_str"".
Step 4. Return ""modified_str"".",Ġgreater,greater
65,"def MinRemove ( a , n , k ) :
    """"""Write a function that takes an array 'a', its length 'n', and an integer 'k' as input.
    The function removes the *minimum* number of elements from the array such that the count of each element is at most 'k'.
    The function returns the length of the modified array.
    """"""","How to solve:
Step 1. Initialize a dictionary to store the count of each element in the array.
Step 2. Iterate through the array and update the count in the dictionary.
Step 3. Iterate through the array again and remove elements that have a count greater than 'k'.
Step 4. Return the length of the modified array.",Ġminimum,minimum
73,"def find_maxm ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the maximum value in the array that occurs the *same* number of times as its value.
    """"""","How to solve:
Step 1. Initialize a variable max_value as -1.
Step 2. Initialize a dictionary count_dict to store the count of each value in the array.
Step 3. Iterate through the array.
    -If the value is not in count_dict, add it as a key with a value of 1.
    -If the value is already in count_dict, increment its value by 1.
Step 4. Iterate through the count_dict.
    -If the key is equal to its value and greater than max_value, update max_value.
Step 5. Return max_value.",Ġsame,same
